id,,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,target
68566731,0.0,6000.0,6000.0,6000.0,0,5.32,180.69,3,14,8,2,120000.0,0,0,0,4,139,13,3.98,0.0,76,780.0,784.0,0.0,0.0,0.0,14.0,0.0,7763.0,19.4,21.0,0,0.0,0.0,6269.1994462824,6269.2,6000.0,269.2,0.0,0.0,0.0,21,4465.28,0,22,784.0,780.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,9285.0,0.0,1.0,0.0,0.0,31.0,1522.0,23.0,0.0,2.0,5080.0,20.0,40000.0,0.0,0.0,0.0,2.0,663.0,22037.0,26.1,0.0,0.0,175.0,183.0,17.0,17.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,9.0,3.0,13.0,18.0,2.0,14.0,0.0,0.0,0.0,0.0,100.0,16.7,0.0,0.0,46500.0,9285.0,29800.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68566731,0.0,6000.0,6000.0,6000.0,0,5.32,180.69,3,14,8,2,120000.0,0,0,0,4,139,13,3.98,0.0,76,780.0,784.0,0.0,0.0,0.0,14.0,0.0,7763.0,19.4,21.0,0,0.0,0.0,6269.1994462824,6269.2,6000.0,269.2,0.0,0.0,0.0,21,4465.28,0,22,784.0,780.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,9285.0,0.0,1.0,0.0,0.0,31.0,1522.0,23.0,0.0,2.0,5080.0,20.0,40000.0,0.0,0.0,0.0,2.0,663.0,22037.0,26.1,0.0,0.0,175.0,183.0,17.0,17.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,9.0,3.0,13.0,18.0,2.0,14.0,0.0,0.0,0.0,0.0,100.0,16.7,0.0,0.0,46500.0,9285.0,29800.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68052883,0.0,15000.0,15000.0,15000.0,0,9.17,478.19,1,6,8,1,48112.0,0,0,0,4,265,10,31.62,1.0,211,685.0,689.0,0.0,11.0,0.0,12.0,0.0,21070.0,58.0,23.0,0,0.0,0.0,17195.479175839,17195.48,15000.0,2195.48,0.0,0.0,0.0,0,477.93,0,16,714.0,710.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,33101.0,0.0,2.0,0.0,1.0,20.0,12031.0,43.0,0.0,1.0,6778.0,52.0,36300.0,0.0,0.0,0.0,2.0,2758.0,4995.0,80.0,0.0,0.0,108.0,170.0,18.0,18.0,0.0,34.0,11.0,0.0,11.0,0.0,5.0,7.0,5.0,10.0,3.0,10.0,20.0,7.0,12.0,0.0,0.0,0.0,0.0,91.3,80.0,0.0,0.0,64120.0,33101.0,25000.0,27820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68446133,0.0,20800.0,20800.0,20800.0,1,18.99,539.45,4,25,10,1,60000.0,1,0,0,4,328,11,29.6,0.0,267,675.0,679.0,0.0,60.0,0.0,15.0,0.0,14899.0,69.3,27.0,0,0.0,0.0,23861.3,23861.3,20800.0,3061.3,0.0,0.0,0.0,28,19490.84,0,0,764.0,760.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,67351.0,3.0,6.0,0.0,1.0,20.0,52452.0,68.0,5.0,6.0,5818.0,68.0,21500.0,0.0,0.0,2.0,7.0,4490.0,4101.0,78.4,0.0,0.0,112.0,111.0,1.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,6.0,6.0,7.0,8.0,16.0,9.0,11.0,6.0,15.0,0.0,0.0,0.0,5.0,96.2,57.1,0.0,0.0,98728.0,67351.0,19000.0,77228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68426254,0.0,15000.0,15000.0,15000.0,0,12.88,504.55,0,10,0,0,118000.0,2,0,0,4,31,15,23.7,0.0,190,705.0,709.0,0.0,0.0,87.0,7.0,1.0,18893.0,44.2,19.0,0,0.0,0.0,17941.7651501276,17941.77,15000.0,2941.77,0.0,0.0,0.0,23,5276.2,0,0,784.0,780.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,64535.0,1.0,2.0,2.0,2.0,4.0,45642.0,90.0,0.0,1.0,10780.0,69.0,42700.0,0.0,1.0,0.0,3.0,9219.0,23807.0,44.2,0.0,0.0,160.0,235.0,19.0,4.0,1.0,19.0,0.0,14.0,0.0,0.0,4.0,4.0,5.0,8.0,6.0,5.0,12.0,4.0,7.0,0.0,0.0,0.0,2.0,100.0,20.0,1.0,0.0,93332.0,64535.0,42700.0,50632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68425452,0.0,12000.0,12000.0,12000.0,0,5.32,361.38,3,14,11,0,110000.0,0,0,0,4,393,0,16.19,0.0,206,745.0,749.0,2.0,49.0,0.0,21.0,0.0,16265.0,25.0,65.0,0,0.0,0.0,12952.0463318355,12952.05,12000.0,952.05,0.0,0.0,0.0,8,814.01,0,3,809.0,805.0,0.0,53.0,1.0,0,0.0,0.0,0,0.0,0.0,217128.0,2.0,8.0,0.0,0.0,41.0,102386.0,91.0,2.0,2.0,10120.0,52.0,65000.0,0.0,3.0,2.0,2.0,11428.0,18680.0,43.6,0.0,0.0,145.0,244.0,3.0,3.0,5.0,3.0,49.0,3.0,49.0,1.0,2.0,4.0,4.0,10.0,38.0,12.0,21.0,4.0,21.0,0.0,0.0,0.0,2.0,98.5,50.0,0.0,0.0,332858.0,118651.0,33100.0,108858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68516183,0.0,12000.0,12000.0,12000.0,0,5.32,361.38,3,14,8,2,50000.0,1,0,0,4,413,43,7.54,0.0,149,770.0,774.0,0.0,0.0,0.0,12.0,0.0,11592.0,17.6,25.0,0,0.0,0.0,13000.707803674,13000.71,12000.0,1000.71,0.0,0.0,0.0,0,361.28,0,16,809.0,805.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,11592.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,2.0,7380.0,18.0,65700.0,0.0,0.0,0.0,2.0,1288.0,50612.0,18.0,0.0,0.0,243.0,266.0,24.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,4.0,6.0,6.0,11.0,5.0,12.0,20.0,6.0,12.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,65700.0,11592.0,61700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68406365,0.0,15000.0,15000.0,15000.0,0,17.27,536.81,5,20,7,1,55000.0,2,0,0,5,70,11,33.86,0.0,50,665.0,669.0,2.0,0.0,0.0,12.0,0.0,23790.0,77.0,18.0,0,0.0,0.0,19252.86658106,19252.87,15000.0,4252.87,0.0,0.0,0.0,18,2110.93,0,15,789.0,785.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,49260.0,4.0,3.0,0.0,2.0,13.0,25470.0,56.0,5.0,5.0,4869.0,77.0,30900.0,0.0,0.0,4.0,7.0,4105.0,3433.0,77.0,0.0,0.0,111.0,107.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,9.0,11.0,11.0,5.0,9.0,12.0,9.0,12.0,0.0,0.0,0.0,5.0,100.0,88.9,0.0,0.0,76595.0,49260.0,30900.0,45695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68615884,0.0,17000.0,17000.0,17000.0,0,8.49,536.57,1,7,9,0,90000.0,1,0,0,4,179,10,12.2,1.0,352,675.0,679.0,0.0,23.0,0.0,10.0,0.0,18772.0,50.3,26.0,0,0.0,0.0,17576.25,17576.25,17000.0,576.25,0.0,0.0,0.0,1,15450.02,0,0,739.0,735.0,0.0,68.0,1.0,0,0.0,0.0,0,0.0,0.0,35604.0,0.0,1.0,0.0,1.0,21.0,16832.0,62.0,1.0,2.0,8348.0,55.0,37300.0,5.0,0.0,3.0,3.0,3560.0,3778.0,82.2,0.0,0.0,130.0,443.0,10.0,10.0,2.0,17.0,23.0,3.0,23.0,1.0,4.0,5.0,4.0,7.0,9.0,9.0,15.0,5.0,10.0,0.0,0.0,0.0,1.0,88.5,50.0,0.0,0.0,64499.0,35604.0,21200.0,27199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
68546123,0.0,3300.0,3300.0,3300.0,0,10.78,107.7,1,2,8,2,32000.0,0,0,0,4,471,11,10.77,5.0,166,660.0,664.0,1.0,15.0,0.0,5.0,0.0,3059.0,51.0,17.0,0,0.0,0.0,3857.0651696638,3857.07,3300.0,557.07,0.0,0.0,0.0,35,738.71,0,23,669.0,665.0,0.0,13.0,1.0,0,0.0,0.0,0,0.0,0.0,4405.0,0.0,1.0,0.0,0.0,25.0,1346.0,17.0,1.0,1.0,2564.0,51.0,6000.0,0.0,6.0,2.0,1.0,881.0,1500.0,51.0,0.0,0.0,92.0,149.0,9.0,9.0,3.0,9.0,13.0,6.0,13.0,2.0,4.0,4.0,2.0,6.0,7.0,4.0,7.0,2.0,5.0,0.0,0.0,3.0,1.0,71.0,25.0,0.0,0.0,13889.0,4405.0,6000.0,7889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0
